"item","date","price","trend_value","flag","sentiment","stars"
"B00GOFU81Q","2015-12-20","185","78","1000.0","",""
"B00G4DSSN8","2015-12-21","312","83.5","1000.0","",""
"B00OPY0QGA","2015-12-21","394.99","83.5","1000.0","",""
"B00GOFU81Q","2015-12-21","192.99","83.5","1000.0","",""
"B00G4DSSN8","2015-12-25","306.9","91.75","1000.0","",""
"B00OPY0QGA","2015-12-25","394.24","91.75","1000.0","",""
"B00GOFU81Q","2015-12-25","184.99","91.75","1000.0","",""
"B00G4DSSN8","2015-12-28","306.86","94.25","1000.0","",""
"B00OPY0QGA","2015-12-28","394.34","94.25","1000.0","",""
"B00GOFU81Q","2015-12-28","188.95","94.25","1000.0","",""
"B00OPY0QGA","2015-12-31","394.92","87.0625","1000.0","",""
"B00G4DSSN8","2015-12-31","305.1","87.0625","1000.0","",""
"B00GOFU81Q","2015-12-31","185.79","87.0625","1000.0","",""
"B00OPY0QGA","2016-01-03","401.9","77","1000.0","",""
"B00GOFU81Q","2016-01-03","183","77","1000.0","",""
"B00G4DSSN8","2016-01-03","305.2","77","1000.0","",""
"B00OPY0QGA","2016-01-06","429.99","76.5","1000.0","",""
"B00GOFU81Q","2016-01-06","191.9","76.5","1000.0","",""
"B00G4DSSN8","2016-01-06","305.1","76.5","1000.0","",""
"B00G4DSSN8","2016-01-07","304.9","76.4375","1000.0","",""
"B00OPY0QGA","2016-01-07","429.99","76.4375","1000.0","",""
"B00GOFU81Q","2016-01-07","182.25","76.4375","1000.0","",""
"B00OPY0QGA","2016-01-14","424.99","70.375","0.0","",""
"B00GOFU81Q","2016-01-14","197.49","70.375","0.0","",""
"B00G4DSSN8","2016-01-14","301.22","70.375","0.0","",""
"B00OPY0QGA","2016-02-03","430.99","63","0.0","",""
"B00GOFU81Q","2016-02-03","190","63","0.0","",""
"B00G4DSSN8","2016-02-03","319","63","0.0","",""
"B00G4DSSN8","2016-02-04","319","62.875","0.0","",""
"B00GOFU81Q","2016-02-04","199","62.875","0.0","",""
"B00OPY0QGA","2016-02-04","432.99","62.875","0.0","",""
"B00OPY0QGA","2016-02-05","429","62.75","0.0","",""
"B00GOFU81Q","2016-02-05","204","62.75","0.0","",""
